tweet	time	tweet_id	lat	long
A 6.0-magnitude earthquake hit the northern San Francisco Bay area early Sunday  the U.S. Geological Survey said. http://t.co/UaGeDrsomR	 2014-08-24 10:45:44	74283988	37.2657598	-121.8151519
It's my birthday. There was an earthquake. I happen to love earthquakes. Obviously the earth gave me one as a present.É?? #ItAllMakesSense	 2014-08-24 10:45:31	192462933	37.357217	-121.833865
"Felt that one - ""@earthquakesSF: A 6.1 magnitude earthquake occurred. Details: http://t.co/nEnhgJ5QK4 Map: http://t.co/KNms0DjQcR"""	 2014-08-24 10:45:57	38397233	37.3570483	-121.9969136
Some rapper probably gonna be like did you feel that 3:20 AM shake? Well check my mixtape out its called Earthquake! I woke ya'll up for it	 2014-08-24 10:46:18	529162824	37.3201217	-121.8395047
Sorry Bay Area! I was just bringing sexy back. Return to your slumber! #earthquake	 2014-08-24 10:46:33	190560880	36.97132723	-122.0190138
That was fun! 6.0 #earthquake just woke me up! Haven't felt one that big since '89.	 2014-08-24 10:47:11	896703414	37.36496924	-122.0353958
Earthquake recovery kit http://t.co/AMKsZ6ZFAQ	 2014-08-24 10:47:35	17942280	37.315519	-121.895878
The 6th graders over for Allie's birthday party didn't even stir with the rumbling. Nor did my 4 y/o  wife and one dog in bed w/ me. #quake	 2014-08-24 10:47:42	76143456	37.36812791	-122.1118092
#DMB continues to rock to Bay even deep into the night. @bt_dmb @SLessard #earthquake	 2014-08-24 10:48:42	269937984	37.30414725	-121.8998041
Woke up from a major #Earthquake a momento ago. Very scary!! #BayArea #SanJose http://t.co/Cq7dDiqCiD	 2014-08-24 10:49:25	34955229	37.3290413	-121.8889107
Jetlagged 3am and just got woken up by a 6er earthquake. So weird! And now I can't get back sleep! http://t.co/R9LLiOV1WG	 2014-08-24 10:50:58	140993495	37.32155174	-122.032061
Sad part is if another earthquake hits we're water less ????????	 2014-08-24 10:52:08	1656467508	37.25294643	-121.8367895
To repeat earthquake safety should be first not twitter or any social media #earthquake #WakeUpCall #gotosleep	 2014-08-24 10:52:37	78500450	37.35311494	-121.8166138
